station_id,station_name,river,value,timestamp,status
L1602,Apperley Bridge,River Aire,0.717,2025-11-05T21:15:00Z,dropping
L1707A,Leeds Crown Point Flood Alleviation Scheme,River Aire,22.867,2025-11-05T21:15:00Z,stable
L1705A,Leeds Knostrop Weir Flood Alleviation Scheme,River Aire,20.271,2025-11-05T21:15:00Z,dropping
