station_id,station_name,river,value,timestamp,status
L1602,Apperley Bridge,River Aire,0.573,2026-01-28T19:30:00Z,dropping
L1707A,Leeds Crown Point Flood Alleviation Scheme,River Aire,22.842,2026-01-28T19:30:00Z,stable
L1705A,Leeds Knostrop Weir Flood Alleviation Scheme,River Aire,20.228,2026-01-28T19:30:00Z,dropping
