station_id,station_name,river,value,timestamp,status
L1602,Apperley Bridge,River Aire,0.054,2025-06-04T11:15:00Z,dropping
L1707A,Leeds Crown Point Flood Alleviation Scheme,River Aire,22.449,2025-06-04T11:15:00Z,rising
L1705A,Leeds Knostrop Weir Flood Alleviation Scheme,River Aire,19.67,2025-06-04T11:15:00Z,rising
